Sunset Laboratory Local Condition Actual Volume OCEC Results 
Date Calculated:  02-20-2018
Calculation Program version used: RTCalc705
Sample ID,Thermal/Optical OC (ugC/LCm^3),Thermal/Optical EC (ugC/LCm^3),OC=TC-BC (ugC/LCm^3),BC (ugC/LCm^3),TC (ugC/LCm^3),Start Date/Time,Mid-time of Collection,Sample Volume Local Condition Actual m^3,Sample Time minutes,Cal Peak Area,Laser/Temp Correction,SBasic Ver,Inst VBasic Ver,Atm.Pres.mmHg,Atm.Temp.degC,SCT,Q,LC,BC,CC,PA,A0,Optxi,SD,SpT,TT,CA,NegC,HighC,NS
RT-3266, 3.704213 , 0.7097033 , 3.729927 , 0.6839893 , 4.413916 ,1/9/2018 5:00:01 PM ,1/9/2018 7:48:00 PM , 2.686966 , 336 , 43618 , 1Linear-0.9322348, 17266 ,RTOCEC62361, 753.131 , 5.080357 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 2.269151 , 0.3489411 , 2.25517 , 0.3629225 , 2.618092 ,1/9/2018 11:00:01 PM ,1/10/2018 1:48:00 AM , 2.689858 , 336 , 41948 , 1Linear-0.9333128, 17266 ,RTOCEC62361, 751.0565 , 3.169643 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 2.532608 , 0.6043041 , 2.626769 , 0.510143 , 3.136912 ,1/10/2018 5:00:01 AM ,1/10/2018 7:48:00 AM , 2.689179 , 336 , 43352 , 1Linear-0.9327818, 17266 ,RTOCEC62361, 748.3036 , 2.991071 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 3.573089 , 0.9222689 , 3.694672 , 0.800686 , 4.495358 ,1/10/2018 11:00:01 AM ,1/10/2018 1:48:00 PM , 2.687515 , 336 , 42907 , 1Linear-0.933, 17266 ,RTOCEC62361, 745.9762 , 5.1875 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 7.143173 , 1.719774 , 7.294035 , 1.568911 , 8.862947 ,1/10/2018 5:00:01 PM ,1/10/2018 7:48:00 PM , 2.686511 , 336 , 42856 , 1Linear-0.9334638, 17266 ,RTOCEC62361, 745.0149 , 4.291667 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 7.05841 , 1.444007 , 7.255013 , 1.247404 , 8.502417 ,1/10/2018 11:00:01 PM ,1/11/2018 1:48:00 AM , 2.68599 , 336 , 42690 , 1Linear-0.9306958, 17266 ,RTOCEC62361, 744.7232 , 4.011905 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 7.019256 , 1.595622 , 7.133626 , 1.481251 , 8.614878 ,1/11/2018 5:00:01 AM ,1/11/2018 7:48:00 AM , 2.6882 , 336 , 42989 , 1Linear-0.9260171, 17266 ,RTOCEC62361, 744.8363 , 4.157738 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 8.106798 , 1.801412 , 8.174719 , 1.733491 , 9.90821 ,1/11/2018 11:00:01 AM ,1/11/2018 1:48:00 PM , 2.688236 , 336 , 43248 , 1Linear-0.9253449, 17266 ,RTOCEC62361, 745.1161 , 5.455357 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 11.58973 , 2.869191 , 11.74454 , 2.714387 , 14.45893 ,1/11/2018 5:00:01 PM ,1/11/2018 7:48:00 PM , 2.6891 , 336 , 43515 , 1Linear-0.9228467, 17266 ,RTOCEC62361, 746.494 , 4.907738 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
RT-3266, 7.567283 , 2.559318 , 7.645348 , 2.481252 , 10.1266 ,1/11/2018 11:00:01 PM ,1/12/2018 1:48:00 AM , 2.687186 , 336 , 43753 , 1Linear-0.9196802, 17266 ,RTOCEC62361, 747.9762 , 4.002976 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 
