Sunset Laboratory OCEC Results 
Date Calculated:  02-20-2018
Calculation Program version used: RTCalc705
Sample ID,Thermal/Optical OC (ugC/STPm^3),Thermal/Optical EC (ugC/STPm^3),OC=TC-BC (ugC/STPm^3),BC (ugC/STPm^3),TC (ugC/STPm^3),Start Date/Time,Mid-time of Collection,Sample Volume - STP m^3,OC(ug),OC unc,EC(ug),EC unc,CC(ug/m^3),CC unc,TC(ug),TC unc,EC/TC ratio,CalConst,Punch Area,calibration area,transit time,Split time(sec),Manual split?(sec),Init.Abs.,Abs.Coef.,Atm.Pres.mmHg,Atm.Temp.degC,OCPk1-ug C,OCPk2-ug C,OCPk3-ug C,OCPk4-ug C,Pyrolized C ug,True EC ug C,BC ug C,BC ABS,OptABS Coef,CO2_ndirC3,CO2_ndirC2,CO2_ndirC1,CO2_ndirC0,NDIR_Type,Laser-Temp Correction,SBasic Ver,Inst VBasic Ver
RT-3266, 3.547658 , 0.6797082 , 3.572285 , 0.6550812 , 4.227366 ,1/9/2018 5:00:01 PM ,1/9/2018 7:48:00 PM , 2.80554 , 9.953094 , 0.6976547 , 1.906948 , 0.2953474 , 0 ,ug/m^3, 11.86004 , 0.8930022 , 0.1607877 , 25.92 , 1.306 ,43618.0, 6 ,535,<--, 0.5062742 , 34.67289 , 753.131 , 5.080357 , 1.397082 , 1.721542 , 3.933936 , 2.867257 , 4.991701E-02 , 1.906948 , 1.837856 , 0.5313347 , 37.75721 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9322348, 17266 ,RTOCEC62361
RT-3266, 2.164276 , 0.3328139 , 2.150941 , 0.3461491 , 2.49709 ,1/9/2018 11:00:01 PM ,1/10/2018 1:48:00 AM , 2.820201 , 6.103694 , 0.5051847 , 0.9386021 , 0.2469301 , 0 ,ug/m^3, 7.042296 , 0.6521148 , 0.1332807 , 25.92 , 1.306 ,41948.0, 6 ,534,<--, 0.2895033 , 40.28238 , 751.0565 , 3.169643 , 0.9830915 , 1.170935 , 2.137343 , 1.805527 , 2.718795E-02 , 0.9386021 , 0.9762101 , 0.3018439 , 40.38148 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9333128, 17266 ,RTOCEC62361
RT-3266, 2.422876 , 0.578121 , 2.512957 , 0.4880397 , 3.000997 ,1/10/2018 5:00:01 AM ,1/10/2018 7:48:00 AM , 2.810972 , 6.810637 , 0.5405318 , 1.625082 , 0.2812541 , 0 ,ug/m^3, 8.435719 , 0.7217859 , 0.192643 , 25.92 , 1.306 ,43352.0, 6 ,532,<--, 0.3888043 , 31.24632 , 748.3036 , 2.991071 , 1.067843 , 1.296239 , 2.414903 , 2.012519 , 3.647167E-02 , 1.625082 , 1.371866 , 0.4106485 , 39.09325 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9327818, 17266 ,RTOCEC62361
RT-3266, 3.456229 , 0.8921054 , 3.573836 , 0.774499 , 4.348334 ,1/10/2018 11:00:01 AM ,1/10/2018 1:48:00 PM , 2.778383 , 9.60273 , 0.6801365 , 2.478611 , 0.3239306 , 0 ,ug/m^3, 12.08134 , 0.904067 , 0.2051603 , 25.92 , 1.306 ,42907.0, 6 ,533,<--, 0.5656916 , 29.80675 , 745.9762 , 5.1875 , 1.36526 , 1.78692 , 3.441542 , 2.967326 , 5.738924E-02 , 2.478611 , 2.151855 , 0.6087654 , 36.94708 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.933, 17266 ,RTOCEC62361
RT-3266, 6.896186 , 1.66031 , 7.041832 , 1.514664 , 8.556497 ,1/10/2018 5:00:01 PM ,1/10/2018 7:48:00 PM , 2.782728 , 19.19021 , 1.15951 , 4.620191 , 0.4310095 , 0 ,ug/m^3, 23.8104 , 1.49052 , 0.1940408 , 25.92 , 1.306 ,42856.0, 6 ,528,<--, 0.934938 , 26.42811 , 745.0149 , 4.291667 , 3.343424 , 3.414792 , 6.827769 , 5.469352 , 0.1542281 , 4.620191 , 4.214898 , 1.059905 , 32.8415 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9334638, 17266 ,RTOCEC62361
RT-3266, 6.810145 , 1.393217 , 6.999834 , 1.203529 , 8.203362 ,1/10/2018 11:00:01 PM ,1/11/2018 1:48:00 AM , 2.783908 , 18.95882 , 1.147941 , 3.878589 , 0.3939295 , 0 ,ug/m^3, 22.83741 , 1.44187 , 0.1698349 , 25.92 , 1.306 ,42690.0, 6 ,531,<--, 0.7959607 , 26.80162 , 744.7232 , 4.011905 , 3.935055 , 2.867654 , 5.741987 , 6.313333 , 0.1226479 , 3.878589 , 3.350514 , 0.88131 , 34.35266 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9306958, 17266 ,RTOCEC62361
RT-3266, 6.774905 , 1.540076 , 6.885295 , 1.429687 , 8.314981 ,1/11/2018 5:00:01 AM ,1/11/2018 7:48:00 AM , 2.785155 , 18.86916 , 1.143458 , 4.28935 , 0.4144675 , 0 ,ug/m^3, 23.15851 , 1.457926 , 0.185217 , 25.92 , 1.306 ,42989.0, 6 ,532,<--, 0.902649 , 27.48341 , 744.8363 , 4.157738 , 3.755744 , 2.830827 , 5.206429 , 6.966426 , 0.131442 , 4.28935 , 3.981899 , 1.013013 , 33.22524 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9260171, 17266 ,RTOCEC62361
RT-3266, 7.858271 , 1.746186 , 7.924109 , 1.680348 , 9.604457 ,1/11/2018 11:00:01 AM ,1/11/2018 1:48:00 PM , 2.773255 , 21.79299 , 1.289649 , 4.842619 , 0.442131 , 0 ,ug/m^3, 26.6356 , 1.63178 , 0.18181 , 25.92 , 1.306 ,43248.0, 6 ,534,<--, 1.006501 , 27.1442 , 745.1161 , 5.455357 , 4.002353 , 3.382042 , 6.054473 , 8.20788 , 0.1600222 , 4.842619 , 4.660033 , 1.14718 , 32.15036 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9253449, 17266 ,RTOCEC62361
RT-3266, 11.19164 , 2.770638 , 11.34113 , 2.621151 , 13.96228 ,1/11/2018 5:00:01 PM ,1/11/2018 7:48:00 PM , 2.784752 , 31.16595 , 1.758297 , 7.715541 , 0.585777 , 0 ,ug/m^3, 38.88149 , 2.244074 , 0.1984374 , 25.92 , 1.306 ,43515.0, 6 ,529,<--, 1.34038 , 22.68844 , 746.494 , 4.907738 , 6.63085 , 4.679479 , 9.042068 , 10.55563 , 0.2698325 , 7.715541 , 7.299258 , 1.614807 , 28.8925 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9228467, 17266 ,RTOCEC62361
RT-3266, 7.269133 , 2.458481 , 7.344122 , 2.383491 , 9.727613 ,1/11/2018 11:00:01 PM ,1/12/2018 1:48:00 AM , 2.797404 , 20.3347 , 1.216735 , 6.877363 , 0.5438682 , 0 ,ug/m^3, 27.21206 , 1.660603 , 0.2527322 , 25.92 , 1.306 ,43753.0, 6 ,531,<--, 1.255515 , 23.84201 , 747.9762 , 4.002976 , 4.212674 , 3.344191 , 5.83945 , 6.777245 , 0.1640994 , 6.877363 , 6.667586 , 1.509507 , 29.56716 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9196802, 17266 ,RTOCEC62361
RT-3266, 8.277824 , 2.185317 , 8.475141 , 1.988001 , 10.46314 ,1/12/2018 5:00:01 AM ,1/12/2018 7:48:00 AM , 2.803608 , 23.20777 , 1.360389 , 6.126771 , 0.5063386 , 0 ,ug/m^3, 29.33454 , 1.766727 , 0.2088586 , 25.92 , 1.306 ,43808.0, 6 ,531,<--, 1.130614 , 24.10049 , 749.9167 , 4.130952 , 4.461804 , 3.730497 , 6.913696 , 7.924273 , 0.1851936 , 6.126771 , 5.573574 , 1.31784 , 30.87964 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9178264, 17266 ,RTOCEC62361
RT-3266, 8.074749 , 1.553453 , 8.211951 , 1.41625 , 9.628201 ,1/12/2018 11:00:01 AM ,1/12/2018 1:48:00 PM , 2.813947 , 22.72191 , 1.336096 , 4.371333 , 0.4185666 , 0 ,ug/m^3, 27.09325 , 1.654662 , 0.161344 , 25.92 , 1.306 ,43677.0, 6 ,536,<--, 0.9046078 , 27.02649 , 751.619 , 4 , 3.929808 , 3.363066 , 6.469763 , 8.812099 , 0.1542963 , 4.371333 , 3.985253 , 1.013695 , 33.2196 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9156926, 17266 ,RTOCEC62361
RT-3266, 5.404575 , 1.234571 , 5.544617 , 1.09453 , 6.639147 ,1/12/2018 5:00:01 PM ,1/12/2018 7:48:00 PM , 2.819869 , 15.24019 , 0.9620097 , 3.481329 , 0.3740664 , 0 ,ug/m^3, 18.72152 , 1.236076 , 0.1859533 , 25.92 , 1.306 ,43526.0, 6 ,531,<--, 0.7501507 , 28.14146 , 752.9583 , 3.919643 , 2.433834 , 2.700025 , 5.441735 , 4.577656 , 0.100045 , 3.481329 , 3.086432 , 0.8240111 , 34.8674 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9168476, 17266 ,RTOCEC62361
RT-3266, 4.604978 , 0.8372496 , 4.642524 , 0.7997031 , 5.442227 ,1/12/2018 11:00:01 PM ,1/13/2018 1:48:00 AM , 2.83433 , 13.05202 , 0.8526012 , 2.373041 , 0.3186521 , 0 ,ug/m^3, 15.42507 , 1.071253 , 0.1538432 , 25.92 , 1.306 ,43658.0, 6 ,534,<--, 0.5818872 , 32.02408 , 753.8065 , 2.583333 , 2.278642 , 2.395009 , 4.18325 , 4.134566 , 6.946356E-02 , 2.373041 , 2.266622 , 0.6363662 , 36.66664 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.913617, 17266 ,RTOCEC62361
RT-3266, 2.810092 , 1.100951 , 3.152462 , 0.7585809 , 3.911042 ,1/13/2018 5:00:01 AM ,1/13/2018 7:48:00 AM , 2.854714 , 8.022007 , 0.6011003 , 3.1429 , 0.357145 , 0 ,ug/m^3, 11.16491 , 0.8582453 , 0.281498 , 25.92 , 1.306 ,43578.0, 6 ,536,<--, 0.5635035 , 23.41581 , 754.3274 , 0.952381 , 1.599405 , 1.598216 , 2.685502 , 2.115688 , 3.211896E-02 , 3.1429 , 2.165531 , 0.6120734 , 36.91324 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9083311, 17266 ,RTOCEC62361
RT-3266, 4.265909 , 1.440334 , 4.54992 , 1.156324 , 5.706244 ,1/13/2018 11:00:01 AM ,1/13/2018 1:48:00 PM , 2.853691 , 12.17359 , 0.8086793 , 4.11027 , 0.4055135 , 0 ,ug/m^3, 16.28386 , 1.114193 , 0.2524138 , 25.92 , 1.306 ,43853.0, 6 ,529,<--, 0.7809677 , 24.81452 , 754.2798 , 0.9940476 , 2.034448 , 2.254915 , 4.50924 , 3.313514 , 0.0738832 , 4.11027 , 3.29979 , 0.8704118 , 34.44939 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9043809, 17266 ,RTOCEC62361
RT-3266, 5.27782 , 1.289686 , 5.40673 , 1.160775 , 6.567505 ,1/13/2018 5:00:01 PM ,1/13/2018 7:48:00 PM , 2.86415 , 15.11647 , 0.9558233 , 3.693853 , 0.3846927 , 0 ,ug/m^3, 18.81032 , 1.240516 , 0.1963738 , 25.92 , 1.306 ,44004.0, 6 ,526,<--, 0.7886713 , 27.88429 , 755.0238 , 0.1964286 , 2.532861 , 2.776133 , 5.977551 , 3.738031 , 9.719116E-02 , 3.693853 , 3.324634 , 0.8757557 , 34.40189 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9106252, 17266 ,RTOCEC62361
RT-3266, 3.695565 , 0.8025783 , 3.867293 , 0.6308503 , 4.498143 ,1/13/2018 11:00:01 PM ,1/14/2018 1:48:00 AM , 2.872156 , 10.61424 , 0.7307119 , 2.30513 , 0.3152565 , 0 ,ug/m^3, 12.91937 , 0.9459684 , 0.1784244 , 25.92 , 1.306 ,44337.0, 6 ,540,<--, 0.488183 , 27.65861 , 755.3452 ,-0.360119 , 1.873101 , 2.028023 , 3.440449 , 3.248111 , 4.501522E-02 , 2.30513 , 1.8119 , 0.5248017 , 37.82719 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9071486, 17266 ,RTOCEC62361
RT-3266, 3.092113 , 0.5128642 , 3.126955 , 0.478022 , 3.604977 ,1/14/2018 5:00:01 AM ,1/14/2018 7:48:00 AM , 2.872146 , 8.881001 , 0.64405 , 1.473021 , 0.273651 , 0 ,ug/m^3, 10.35402 , 0.817701 , 0.1422656 , 25.92 , 1.306 ,44132.0, 6 ,544,<--, 0.3878711 , 34.38917 , 755.8274 ,-0.1666667 , 1.771971 , 1.661554 , 2.786288 , 2.636519 , 2.819179E-02 , 1.473021 , 1.372949 , 0.4109379 , 39.08994 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9050863, 17266 ,RTOCEC62361
RT-3266, 4.566982 , 0.8589447 , 4.719717 , 0.7062099 , 5.425927 ,1/14/2018 11:00:01 AM ,1/14/2018 1:48:00 PM , 2.863754 , 13.07871 , 0.8539355 , 2.459806 , 0.3229903 , 0 ,ug/m^3, 15.53852 , 1.076926 , 0.1583038 , 25.92 , 1.306 ,44215.0, 6 ,545,<--, 0.5341955 , 28.36237 , 755.7976 , 0.4255952 , 2.226488 , 2.492635 , 3.982822 , 4.337489 , 4.865679E-02 , 2.459806 , 2.022411 , 0.5771948 , 37.27316 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9027693, 17266 ,RTOCEC62361
RT-3266, 5.522214 , 1.066417 , 5.667937 , 0.9206948 , 6.588632 ,1/14/2018 5:00:01 PM ,1/14/2018 7:48:00 PM , 2.887379 , 15.94472 , 0.9972362 , 3.079151 , 0.3539575 , 0 ,ug/m^3, 19.02387 , 1.251194 , 0.1618572 , 25.92 , 1.306 ,44194.0, 6 ,529,<--, 0.6687978 , 28.36658 , 756.0387 ,-1.747024 , 2.535461 , 2.863904 , 5.98235 , 4.477965 , 9.560031E-02 , 3.079151 , 2.658395 , 0.7280108 , 35.76528 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.902568, 17266 ,RTOCEC62361
